ids,level,vendor_value,default_skin,chat_link,name,icon,description,type,rarity,flags,game_types,restrictions
70,0,6,17,[&AgFGAAAA],Mighty Studded Coat,https://render.guildwars2.com/file/5050F9A0AAA5324F0501B7944876F0FA29DCEB97/61008.png,,Armor,Basic,[Ljava.lang.String;@2a4132f,[Ljava.lang.String;@335bb81e,[Ljava.lang.String;@81c61b1
71,6,11,40,[&AgFHAAAA],Mighty Worn Chain Greaves,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,,Armor,Fine,[Ljava.lang.String;@4a67875,[Ljava.lang.String;@26b92ea5,[Ljava.lang.String;@484cf924
72,62,265,95,[&AgFIAAAA],Berserker's Sneakthief Mask of the Afflicted,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@23360875,[Ljava.lang.String;@1464b9b6,[Ljava.lang.String;@7b477199
73,70,295,95,[&AgFJAAAA],Berserker's Sneakthief Mask of Dwayna,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@54ed320c,[Ljava.lang.String;@470bfd44,[Ljava.lang.String;@7693551a
74,11,16,40,[&AgFKAAAA],Mighty Worn Chain Greaves,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,,Armor,Fine,[Ljava.lang.String;@369829e8,[Ljava.lang.String;@b581065,[Ljava.lang.String;@13a12d97
75,78,320,95,[&AgFLAAAA],Berserker's Sneakthief Mask of Strength,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@7f76917c,[Ljava.lang.String;@8d63013,[Ljava.lang.String;@43c6c254
76,62,318,9,[&AgFMAAAA],Berserker's Seer Coat of the Flame Legion,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@5911922e,[Ljava.lang.String;@12a71501,[Ljava.lang.String;@2bc8e9ee
77,0,7,17,[&AgFNAAAA],Mighty Studded Coat,https://render.guildwars2.com/file/5050F9A0AAA5324F0501B7944876F0FA29DCEB97/61008.png,,Armor,Basic,[Ljava.lang.String;@5e695aa1,[Ljava.lang.String;@b3c33a0,[Ljava.lang.String;@211930db
78,46,42,65,[&AgFOAAAA],Strong Worn Scale Boots,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,,Armor,Fine,[Ljava.lang.String;@4df23a8f,[Ljava.lang.String;@595acdc2,[Ljava.lang.String;@3391447a
79,70,354,9,[&AgFPAAAA],Berserker's Seer Coat of the Traveler,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@5b66253b,[Ljava.lang.String;@71c5a9a,[Ljava.lang.String;@827a366
80,80,330,95,[&AgFQAAAA],Nika's Mask,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@31ac948c,[Ljava.lang.String;@5b09307f,[Ljava.lang.String;@3ea4790e
81,0,4,48,[&AgFRAAAA],Mighty Studded Boots,https://render.guildwars2.com/file/C05DCA62E84D18EF46D5357C217956C55BC3063E/61013.png,,Armor,Basic,[Ljava.lang.String;@b2dd12f,[Ljava.lang.String;@5ef03c32,[Ljava.lang.String;@4c68755b
82,78,384,9,[&AgFSAAAA],Berserker's Seer Coat of the Afflicted,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@511919d1,[Ljava.lang.String;@34581e74,[Ljava.lang.String;@6b96b561
83,51,45,65,[&AgFTAAAA],Strong Worn Scale Boots,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,,Armor,Fine,[Ljava.lang.String;@645bd7e5,[Ljava.lang.String;@7d159d2e,[Ljava.lang.String;@9ca9746
84,80,396,9,[&AgFUAAAA],Zhed's Coat,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@572906a3,[Ljava.lang.String;@6d77175c,[Ljava.lang.String;@3cda1b31
85,63,324,9,[&AgFVAAAA],Carrion Seer Coat of Rage,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@6177db4b,[Ljava.lang.String;@7e74d5d8,[Ljava.lang.String;@2bece0bd
86,63,270,95,[&AgFWAAAA],Carrion Sneakthief Mask of Grenth,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@47837562,[Ljava.lang.String;@18f1535a,[Ljava.lang.String;@40f38f89
87,56,49,65,[&AgFXAAAA],Strong Worn Scale Boots,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,,Armor,Fine,[Ljava.lang.String;@c566622,[Ljava.lang.String;@50222aaf,[Ljava.lang.String;@425bc872
88,71,354,9,[&AgFYAAAA],Carrion Seer Coat of the Centaur,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@1e088877,[Ljava.lang.String;@21d08ae2,[Ljava.lang.String;@60e6ab25
89,71,295,95,[&AgFZAAAA],Carrion Sneakthief Mask of Balthazar,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@7c62e713,[Ljava.lang.String;@26f383d8,[Ljava.lang.String;@3d19a7e
90,61,52,74,[&AgFaAAAA],Berserker's Reinforced Scale Boots,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png,,Armor,Fine,[Ljava.lang.String;@563bb6a2,[Ljava.lang.String;@3d8a8909,[Ljava.lang.String;@7dd2023
91,79,390,9,[&AgFbAAAA],Carrion Seer Coat of the Afflicted,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@8d058cc,[Ljava.lang.String;@35561d2,[Ljava.lang.String;@6afe7270
92,79,325,95,[&AgFcAAAA],Carrion Sneakthief Mask of the Flame Legion,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@44c8b34,[Ljava.lang.String;@e50b549,[Ljava.lang.String;@26230ea0
93,80,330,95,[&AgFdAAAA],Shiro's Mask,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@3f5785e6,[Ljava.lang.String;@5fa2ac13,[Ljava.lang.String;@5453a053
94,80,396,9,[&AgFeAAAA],Ogden's Coat,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@6abbf277,[Ljava.lang.String;@69c02273,[Ljava.lang.String;@2348c96c
95,66,56,74,[&AgFfAAAA],Berserker's Reinforced Scale Boots,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png,,Armor,Fine,[Ljava.lang.String;@6ad0b46e,[Ljava.lang.String;@5fcddb09,[Ljava.lang.String;@37f6b939
96,64,270,95,[&AgFgAAAA],Rampager's Sneakthief Mask of the Citadel,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@52100502,[Ljava.lang.String;@3d8cb8ea,[Ljava.lang.String;@ca829c1
97,64,324,9,[&AgFhAAAA],Rampager's Seer Coat of the Traveler,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@e95761c,[Ljava.lang.String;@5c7f4ad9,[Ljava.lang.String;@4ece254
98,71,59,74,[&AgFiAAAA],Berserker's Reinforced Scale Boots,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png,,Armor,Fine,[Ljava.lang.String;@49c73529,[Ljava.lang.String;@6cc78f9b,[Ljava.lang.String;@4a482958
99,0,5,48,[&AgFjAAAA],Mighty Studded Boots,https://render.guildwars2.com/file/C05DCA62E84D18EF46D5357C217956C55BC3063E/61013.png,,Armor,Basic,[Ljava.lang.String;@29558c07,[Ljava.lang.String;@594b9a79,[Ljava.lang.String;@9a07d9c
100,72,360,9,[&AgFkAAAA],Rampager's Seer Coat of Divinity,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@2299719,[Ljava.lang.String;@79906ef,[Ljava.lang.String;@204cc37
101,72,300,95,[&AgFlAAAA],Rampager's Sneakthief Mask of the Traveler,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@8421d76,[Ljava.lang.String;@461dd238,[Ljava.lang.String;@97c1a6a
102,76,63,74,[&AgFmAAAA],Berserker's Reinforced Scale Boots,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png,,Armor,Fine,[Ljava.lang.String;@2d3d0a06,[Ljava.lang.String;@358c0b7a,[Ljava.lang.String;@1d2893e1
103,80,330,95,[&AgFnAAAA],Aidan's Mask,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@746e7564,[Ljava.lang.String;@31c63cd5,[Ljava.lang.String;@6444364c
104,80,396,9,[&AgFoAAAA],Norgu's Coat,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@3daa16be,[Ljava.lang.String;@3ae8813a,[Ljava.lang.String;@3ac82226
105,65,330,9,[&AgFpAAAA],Shaman's Seer Coat of the Flame Legion,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@7f7b9565,[Ljava.lang.String;@120973d2,[Ljava.lang.String;@6c16d1f8
106,62,318,12,[&AgFqAAAA],Berserker's Sneakthief Coat of the Dolyak,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,,Armor,Exotic,[Ljava.lang.String;@1734174e,[Ljava.lang.String;@34c76870,[Ljava.lang.String;@6d890ad9
107,65,275,95,[&AgFrAAAA],Shaman's Sneakthief Mask of the Grove,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@37ca8f81,[Ljava.lang.String;@737051,[Ljava.lang.String;@f780cc7
108,73,366,9,[&AgFsAAAA],Shaman's Seer Coat of Divinity,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@2a821033,[Ljava.lang.String;@49d72465,[Ljava.lang.String;@523d34f6
109,73,305,95,[&AgFtAAAA],Shaman's Sneakthief Mask of Melandru,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@1dec0442,[Ljava.lang.String;@27d58c44,[Ljava.lang.String;@575170d7
110,80,66,74,[&AgFuAAAA],Berserker's Reinforced Scale Boots,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png,,Armor,Fine,[Ljava.lang.String;@6cf0644f,[Ljava.lang.String;@1143b387,[Ljava.lang.String;@1a7faa47
111,80,396,9,[&AgFvAAAA],Tahlkora's Coat,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@4674a617,[Ljava.lang.String;@2949608a,[Ljava.lang.String;@259a21af
112,70,354,12,[&AgFwAAAA],Berserker's Sneakthief Coat of the Centaur,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,,Armor,Exotic,[Ljava.lang.String;@42d08ac9,[Ljava.lang.String;@2177c89a,[Ljava.lang.String;@43d8b10e
113,66,336,9,[&AgFxAAAA],Cleric's Seer Coat of the Eagle,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@373b6783,[Ljava.lang.String;@71fb356f,[Ljava.lang.String;@6e5700d2
114,16,20,40,[&AgFyAAAA],Mighty Worn Chain Greaves,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,,Armor,Fine,[Ljava.lang.String;@68019cd7,[Ljava.lang.String;@46ae92b,[Ljava.lang.String;@2c12f484
115,80,330,95,[&AgFzAAAA],Reyna's Mask,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@7a953044,[Ljava.lang.String;@1e16ece5,[Ljava.lang.String;@4d666dbd
116,66,280,95,[&AgF0AAAA],Cleric's Sneakthief Mask of the Pack,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@766b1641,[Ljava.lang.String;@252f1fd8,[Ljava.lang.String;@c77ae5c
117,74,366,9,[&AgF1AAAA],Cleric's Seer Coat of the Afflicted,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@728221ea,[Ljava.lang.String;@5c75f8e5,[Ljava.lang.String;@1f9ed6c
118,80,396,9,[&AgF2AAAA],Mhenlo's Coat,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@304db641,[Ljava.lang.String;@53234cd3,[Ljava.lang.String;@20e23482
119,78,384,12,[&AgF3AAAA],Berserker's Sneakthief Coat of Vampirism,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,,Armor,Exotic,[Ljava.lang.String;@6e3e3f7f,[Ljava.lang.String;@339c6347,[Ljava.lang.String;@7a10e433
120,21,24,40,[&AgF4AAAA],Strong Worn Chain Greaves,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,,Armor,Fine,[Ljava.lang.String;@4be789d7,[Ljava.lang.String;@543d9213,[Ljava.lang.String;@4eb5588
121,74,305,95,[&AgF5AAAA],Cleric's Sneakthief Mask of Rage,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@7927085a,[Ljava.lang.String;@e799f98,[Ljava.lang.String;@36ec294e
122,75,372,9,[&AgF6AAAA],Seer Coat of Rage,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@68756d0e,[Ljava.lang.String;@2951dd82,[Ljava.lang.String;@6b96026f
123,80,330,95,[&AgF7AAAA],Zho's Mask,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@3ce7f00a,[Ljava.lang.String;@7f39e785,[Ljava.lang.String;@5823982d
125,80,396,12,[&AgF9AAAA],Nika's Coat,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,,Armor,Exotic,[Ljava.lang.String;@37d7c3c,[Ljava.lang.String;@99bbf9,[Ljava.lang.String;@302c61a0
126,26,28,40,[&AgF+AAAA],Strong Worn Chain Greaves,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,,Armor,Fine,[Ljava.lang.String;@740a7578,[Ljava.lang.String;@1c7e6b59,[Ljava.lang.String;@51755d5c
128,76,378,9,[&AgGAAAAA],Berserker's Seer Coat of Rata Sum,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@20717b3,[Ljava.lang.String;@2501033e,[Ljava.lang.String;@4aca9064
129,31,31,65,[&AgGBAAAA],Strong Worn Scale Boots,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,,Armor,Fine,[Ljava.lang.String;@31aebbdc,[Ljava.lang.String;@b2e98d5,[Ljava.lang.String;@269b627d
130,80,330,95,[&AgGCAAAA],Errol's Mask,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@38cc9f7a,[Ljava.lang.String;@7c78b3e4,[Ljava.lang.String;@36f748e
131,80,396,9,[&AgGDAAAA],Khilbron's Coat,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,,Armor,Exotic,[Ljava.lang.String;@7e1a7614,[Ljava.lang.String;@227111e2,[Ljava.lang.String;@1baf71db
132,6,17,13,[&AgGEAAAA],Mighty Country Coat,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,,Armor,Fine,[Ljava.lang.String;@631cad24,[Ljava.lang.String;@4e9bcd85,[Ljava.lang.String;@644f2bb5
133,76,315,95,[&AgGFAAAA],Berserker's Sneakthief Mask of the Flame Legion,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@48ebf4e,[Ljava.lang.String;@2fd4776,[Ljava.lang.String;@121a5549
134,36,35,65,[&AgGGAAAA],Strong Worn Scale Boots,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,,Armor,Fine,[Ljava.lang.String;@f95c63c,[Ljava.lang.String;@7e906c4f,[Ljava.lang.String;@16be421c
135,11,24,13,[&AgGHAAAA],Mighty Country Coat,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,,Armor,Fine,[Ljava.lang.String;@56ceed9f,[Ljava.lang.String;@774b755c,[Ljava.lang.String;@ac48dee
136,80,330,95,[&AgGIAAAA],Vatlaaw's Mask,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,,Armor,Exotic,[Ljava.lang.String;@6e8e9008,[Ljava.lang.String;@4f8d2a53,[Ljava.lang.String;@63c0476b
137,16,30,13,[&AgGJAAAA],Mighty Country Coat,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,,Armor,Fine,[Ljava.lang.String;@4dc51d00,[Ljava.lang.String;@57d1da60,[Ljava.lang.String;@71a8ad7b
138,11,20,97,[&AgGKAAAA],Mighty Swindler Mask,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,,Armor,Fine,[Ljava.lang.String;@1032473a,[Ljava.lang.String;@75fa7521,[Ljava.lang.String;@2ca1b324
139,63,324,12,[&AgGLAAAA],Carrion Sneakthief Coat of Mercy,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,,Armor,Exotic,[Ljava.lang.String;@185610be,[Ljava.lang.String;@1adf9f19,[Ljava.lang.String;@3caab21e
140,41,38,65,[&AgGMAAAA],Strong Worn Scale Boots,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,,Armor,Fine,[Ljava.lang.String;@1d331e3c,[Ljava.lang.String;@35c83ec4,[Ljava.lang.String;@53095833
141,16,25,97,[&AgGNAAAA],Mighty Swindler Mask,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,,Armor,Fine,[Ljava.lang.String;@3a5a2a0e,[Ljava.lang.String;@3f9d1187,[Ljava.lang.String;@4b5736ae
142,7,18,13,[&AgGOAAAA],Precise Country Coat,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,,Armor,Fine,[Ljava.lang.String;@52862737,[Ljava.lang.String;@39676d33,[Ljava.lang.String;@6ea152b1
143,71,354,12,[&AgGPAAAA],Carrion Sneakthief Coat of the Dolyak,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,,Armor,Exotic,[Ljava.lang.String;@1c31eb8d,[Ljava.lang.String;@7f6dd8a3,[Ljava.lang.String;@7d612c88
144,12,26,13,[&AgGQAAAA],Precise Country Coat,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,,Armor,Fine,[Ljava.lang.String;@19b1cd4f,[Ljava.lang.String;@acf3077,[Ljava.lang.String;@1b76494d
145,12,22,97,[&AgGRAAAA],Precise Swindler Mask,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,,Armor,Fine,[Ljava.lang.String;@6f0733c7,[Ljava.lang.String;@78cb40dd,[Ljava.lang.String;@b749b3b
146,17,32,13,[&AgGSAAAA],Precise Country Coat,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,,Armor,Fine,[Ljava.lang.String;@22618739,[Ljava.lang.String;@742e11b9,[Ljava.lang.String;@56416a49
147,17,27,97,[&AgGTAAAA],Precise Swindler Mask,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,,Armor,Fine,[Ljava.lang.String;@79438ef9,[Ljava.lang.String;@573586a7,[Ljava.lang.String;@5312e621
148,0,4,40,[&AgGUAAAA],Mighty Worn Chain Greaves,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,,Armor,Basic,[Ljava.lang.String;@e5cdd28,[Ljava.lang.String;@6b8dae5c,[Ljava.lang.String;@10f60d34
149,8,20,13,[&AgGVAAAA],Vital Country Coat,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,,Armor,Fine,[Ljava.lang.String;@5411d2e5,[Ljava.lang.String;@3c4cf0d2,[Ljava.lang.String;@3a355649
150,13,27,13,[&AgGWAAAA],Vital Country Coat,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,,Armor,Fine,[Ljava.lang.String;@1a8a6396,[Ljava.lang.String;@40d61cd8,[Ljava.lang.String;@1bc7ae70
151,79,390,12,[&AgGXAAAA],Carrion Sneakthief Coat of Hoelbrak,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,,Armor,Exotic,[Ljava.lang.String;@bd0345f,[Ljava.lang.String;@420f6060,[Ljava.lang.String;@324f9425
152,7,12,40,[&AgGYAAAA],Precise Worn Chain Greaves,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,,Armor,Fine,[Ljava.lang.String;@14dd1832,[Ljava.lang.String;@1ea5b43a,[Ljava.lang.String;@2710cbee
153,13,23,97,[&AgGZAAAA],Vital Swindler Mask,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,,Armor,Fine,[Ljava.lang.String;@69309d95,[Ljava.lang.String;@15501409,[Ljava.lang.String;@26e766fd
154,18,33,13,[&AgGaAAAA],Vital Country Coat,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,,Armor,Fine,[Ljava.lang.String;@7099674,[Ljava.lang.String;@6ab86f35,[Ljava.lang.String;@7f5dde37
155,80,396,12,[&AgGbAAAA],Shiro's Coat,https://render.guildwars2.com/file/142DBA7E1144E3A61A02D9C8EC44225F327597F2/561549.png,,Armor,Exotic,[Ljava.lang.String;@62909faf,[Ljava.lang.String;@29e10fbf,[Ljava.lang.String;@90c71
156,18,28,97,[&AgGcAAAA],Vital Swindler Mask,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png,,Armor,Fine,[Ljava.lang.String;@11b4c621,[Ljava.lang.String;@77bf4e5f,[Ljava.lang.String;@56022be0
